scenario_id,label,hour,lmp,p_charge_MW,p_discharge_MW,soc_MWh,u_charge,u_discharge,net_revenue
10,"High-Spread (Winter S10, spread=$118.9)",0,36.5297,0.0,0.0,0.5,0,1,66.473698
10,"High-Spread (Winter S10, spread=$118.9)",1,35.7331,0.0,0.0,0.5,1,0,66.473698
10,"High-Spread (Winter S10, spread=$118.9)",2,33.9719,0.430108,0.0,0.9,1,0,66.473698
10,"High-Spread (Winter S10, spread=$118.9)",3,35.7748,0.0,0.0,0.9,0,1,66.473698
10,"High-Spread (Winter S10, spread=$118.9)",4,45.02,0.0,0.0,0.9,1,0,66.473698
10,"High-Spread (Winter S10, spread=$118.9)",5,52.9091,0.0,0.0,0.9,0,1,66.473698
10,"High-Spread (Winter S10, spread=$118.9)",6,66.4966,0.0,0.0,0.9,1,0,66.473698
10,"High-Spread (Winter S10, spread=$118.9)",7,152.9094,0.0,0.0,0.9,0,1,66.473698
10,"High-Spread (Winter S10, spread=$118.9)",8,89.3006,0.0,0.0,0.9,1,0,66.473698
10,"High-Spread (Winter S10, spread=$118.9)",9,152.9094,0.0,0.0,0.9,0,1,66.473698
10,"High-Spread (Winter S10, spread=$118.9)",10,152.9094,0.0,0.0,0.9,1,0,66.473698
10,"High-Spread (Winter S10, spread=$118.9)",11,152.9094,0.0,0.0,0.9,1,0,66.473698
10,"High-Spread (Winter S10, spread=$118.9)",12,152.9094,0.0,0.5,0.362366,0,1,66.473698
10,"High-Spread (Winter S10, spread=$118.9)",13,152.9094,0.0,0.0,0.362366,1,0,66.473698
10,"High-Spread (Winter S10, spread=$118.9)",14,152.9094,0.0,0.0,0.362366,0,1,66.473698
10,"High-Spread (Winter S10, spread=$118.9)",15,152.9094,0.0,0.0,0.362366,0,1,66.473698
10,"High-Spread (Winter S10, spread=$118.9)",16,152.9094,0.0,0.0,0.362366,0,1,66.473698
10,"High-Spread (Winter S10, spread=$118.9)",17,152.9094,0.0,0.0,0.362366,1,0,66.473698
10,"High-Spread (Winter S10, spread=$118.9)",18,152.9094,0.0,0.0,0.362366,0,1,66.473698
10,"High-Spread (Winter S10, spread=$118.9)",19,152.9094,0.0,0.0,0.362366,1,0,66.473698
10,"High-Spread (Winter S10, spread=$118.9)",20,152.9094,0.0,0.0,0.362366,1,0,66.473698
10,"High-Spread (Winter S10, spread=$118.9)",21,152.9094,0.0,0.244,0.1,0,1,66.473698
10,"High-Spread (Winter S10, spread=$118.9)",22,152.9094,0.0,0.0,0.1,1,0,66.473698
10,"High-Spread (Winter S10, spread=$118.9)",23,152.9094,0.0,0.0,0.1,0,1,66.473698
1,"Low-Spread  (Winter S1,  spread=$8.6)",0,19.3974,0.0,0.0,0.5,0,1,0.0
1,"Low-Spread  (Winter S1,  spread=$8.6)",1,18.5021,0.0,0.0,0.5,1,0,0.0
1,"Low-Spread  (Winter S1,  spread=$8.6)",2,18.2352,0.0,0.0,0.5,1,0,0.0
1,"Low-Spread  (Winter S1,  spread=$8.6)",3,18.222,0.0,0.0,0.5,0,1,0.0
1,"Low-Spread  (Winter S1,  spread=$8.6)",4,18.6923,0.0,0.0,0.5,1,0,0.0
1,"Low-Spread  (Winter S1,  spread=$8.6)",5,19.6329,0.0,0.0,0.5,0,1,0.0
1,"Low-Spread  (Winter S1,  spread=$8.6)",6,23.9734,0.0,0.0,0.5,1,0,0.0
1,"Low-Spread  (Winter S1,  spread=$8.6)",7,26.8387,0.0,0.0,0.5,0,1,0.0
1,"Low-Spread  (Winter S1,  spread=$8.6)",8,22.9418,0.0,0.0,0.5,1,0,0.0
1,"Low-Spread  (Winter S1,  spread=$8.6)",9,21.4654,0.0,0.0,0.5,0,1,0.0
1,"Low-Spread  (Winter S1,  spread=$8.6)",10,22.4062,0.0,0.0,0.5,1,0,0.0
1,"Low-Spread  (Winter S1,  spread=$8.6)",11,21.3764,0.0,0.0,0.5,1,0,0.0
1,"Low-Spread  (Winter S1,  spread=$8.6)",12,20.307,0.0,0.0,0.5,0,1,0.0
1,"Low-Spread  (Winter S1,  spread=$8.6)",13,19.8289,0.0,0.0,0.5,1,0,0.0
1,"Low-Spread  (Winter S1,  spread=$8.6)",14,19.2548,0.0,0.0,0.5,0,1,0.0
1,"Low-Spread  (Winter S1,  spread=$8.6)",15,19.4349,0.0,0.0,0.5,1,0,0.0
1,"Low-Spread  (Winter S1,  spread=$8.6)",16,22.0624,0.0,0.0,0.5,0,1,0.0
1,"Low-Spread  (Winter S1,  spread=$8.6)",17,26.7603,0.0,0.0,0.5,1,0,0.0
1,"Low-Spread  (Winter S1,  spread=$8.6)",18,25.8601,0.0,0.0,0.5,0,1,0.0
1,"Low-Spread  (Winter S1,  spread=$8.6)",19,23.5093,0.0,0.0,0.5,1,0,0.0
1,"Low-Spread  (Winter S1,  spread=$8.6)",20,22.8552,0.0,0.0,0.5,1,0,0.0
1,"Low-Spread  (Winter S1,  spread=$8.6)",21,21.6449,0.0,0.0,0.5,0,1,0.0
1,"Low-Spread  (Winter S1,  spread=$8.6)",22,19.8884,0.0,0.0,0.5,1,0,0.0
1,"Low-Spread  (Winter S1,  spread=$8.6)",23,18.7018,0.0,0.0,0.5,0,1,0.0
24,"Med-Spread  (Summer S24, spread=$51.8)",0,33.779,0.0,0.0,0.5,0,1,18.64154
24,"Med-Spread  (Summer S24, spread=$51.8)",1,30.5024,0.0,0.0,0.5,1,0,18.64154
24,"Med-Spread  (Summer S24, spread=$51.8)",2,27.6669,0.0,0.0,0.5,1,0,18.64154
24,"Med-Spread  (Summer S24, spread=$51.8)",3,26.2736,0.0,0.0,0.5,0,1,18.64154
24,"Med-Spread  (Summer S24, spread=$51.8)",4,26.1282,0.0,0.0,0.5,1,0,18.64154
24,"Med-Spread  (Summer S24, spread=$51.8)",5,28.0791,0.0,0.0,0.5,0,1,18.64154
24,"Med-Spread  (Summer S24, spread=$51.8)",6,30.6555,0.0,0.0,0.5,1,0,18.64154
24,"Med-Spread  (Summer S24, spread=$51.8)",7,30.7151,0.0,0.0,0.5,0,1,18.64154
24,"Med-Spread  (Summer S24, spread=$51.8)",8,34.2665,0.0,0.0,0.5,1,0,18.64154
24,"Med-Spread  (Summer S24, spread=$51.8)",9,37.2155,0.0,0.0,0.5,0,1,18.64154
24,"Med-Spread  (Summer S24, spread=$51.8)",10,41.6517,0.0,0.0,0.5,1,0,18.64154
24,"Med-Spread  (Summer S24, spread=$51.8)",11,50.8627,0.0,0.0,0.5,1,0,18.64154
24,"Med-Spread  (Summer S24, spread=$51.8)",12,52.1653,0.0,0.0,0.5,0,1,18.64154
24,"Med-Spread  (Summer S24, spread=$51.8)",13,53.3653,0.0,0.0,0.5,1,0,18.64154
24,"Med-Spread  (Summer S24, spread=$51.8)",14,56.242,0.0,0.0,0.5,0,1,18.64154
24,"Med-Spread  (Summer S24, spread=$51.8)",15,64.732,0.0,0.0,0.5,1,0,18.64154
24,"Med-Spread  (Summer S24, spread=$51.8)",16,77.945,0.0,0.372,0.1,0,1,18.64154
24,"Med-Spread  (Summer S24, spread=$51.8)",17,67.9352,0.0,0.0,0.1,1,0,18.64154
24,"Med-Spread  (Summer S24, spread=$51.8)",18,61.3844,0.0,0.0,0.1,0,1,18.64154
24,"Med-Spread  (Summer S24, spread=$51.8)",19,53.3821,0.0,0.0,0.1,1,0,18.64154
24,"Med-Spread  (Summer S24, spread=$51.8)",20,47.3739,0.0,0.0,0.1,1,0,18.64154
24,"Med-Spread  (Summer S24, spread=$51.8)",21,45.6204,0.0,0.0,0.1,0,1,18.64154
24,"Med-Spread  (Summer S24, spread=$51.8)",22,39.7387,0.0,0.0,0.1,1,0,18.64154
24,"Med-Spread  (Summer S24, spread=$51.8)",23,35.6097,0.0,0.0,0.1,0,1,18.64154
