scenario_id,season,probability,det_net,stoch_net,abs_error,rel_error_pct
1,winter,0.1027,0.0,0.0,0.0,0.0
2,winter,0.0664,5.759515,5.759515,0.0,0.0
3,winter,0.0288,14.581681,14.581681,0.0,0.0
4,winter,0.0192,16.033299,16.033299,0.0,0.0
5,winter,0.0123,22.21832,22.21832,0.0,0.0
6,winter,0.0103,32.538195,32.538195,0.0,0.0
7,winter,0.0034,38.487678,38.487678,0.0,0.0
8,winter,0.0014,46.528297,46.528297,0.0,0.0
9,winter,0.0014,46.528297,46.528297,0.0,0.0
10,winter,0.0007,66.473698,66.473697,1e-06,0.0
11,spring,0.0863,0.0,0.0,0.0,0.0
12,spring,0.074,2.629098,2.629098,0.0,0.0
13,spring,0.0212,8.432446,8.432446,0.0,0.0
14,spring,0.0178,15.495462,15.495462,0.0,0.0
15,spring,0.0171,17.003475,17.003475,0.0,0.0
16,spring,0.013,22.675657,22.675657,0.0,0.0
17,spring,0.0082,41.216191,41.216191,0.0,0.0
18,spring,0.0055,24.356427,24.356427,0.0,0.0
19,spring,0.0048,36.158801,36.158801,0.0,0.0
20,spring,0.0041,19.902769,19.902769,0.0,0.0
21,summer,0.0836,3.136543,3.136543,0.0,0.0
22,summer,0.0521,5.801923,5.801923,0.0,0.0
23,summer,0.026,17.072035,17.072035,0.0,0.0
24,summer,0.0247,18.64154,18.64154,0.0,0.0
25,summer,0.0205,29.662114,29.662114,0.0,0.0
26,summer,0.0151,44.679117,44.679117,0.0,0.0
27,summer,0.0116,57.229739,57.229739,0.0,0.0
28,summer,0.0068,53.673399,53.673399,0.0,0.0
29,summer,0.0062,51.247791,51.247791,0.0,0.0
30,summer,0.0055,56.305586,56.305586,0.0,0.0
31,fall,0.0658,0.841898,0.841898,0.0,0.0
32,fall,0.0541,3.826603,3.826603,0.0,0.0
33,fall,0.0329,16.728828,16.728828,0.0,0.0
34,fall,0.024,12.379478,12.379478,0.0,0.0
35,fall,0.0185,17.207257,17.207257,0.0,0.0
36,fall,0.0151,27.27141,27.27141,0.0,0.0
37,fall,0.013,32.782036,32.782036,0.0,0.0
38,fall,0.0123,39.822315,39.822314,1e-06,0.0
39,fall,0.0116,29.301609,29.301609,0.0,0.0
40,fall,0.0021,53.60987,53.609869,1e-06,0.0
