E_MWh,P_MW,P_REG,regd_net_per_mwh,r_mean_mw,r_max_mw,total_net_day,reg_net_day,arb_net_day,annual_total_$,annual_reg_$,annual_arb_$,annual_om_$,capex_$,npv_$,breakeven_$
0.5,0.25,0.0,-10.4375,0.0,0.0,5.8022,-0.0,5.8022,2117.8,-0.0,2117.8,2500.0,242000.0,-245481.02,29070.0
1.0,0.5,0.0,-10.4375,0.0,0.0,11.6044,-0.0,11.6044,4235.61,-0.0,4235.61,5000.0,409000.0,-415962.04,49906.0
1.5,0.75,0.0,-10.4375,0.0,0.0,17.4066,-0.0,17.4066,6353.41,-0.0,6353.41,7500.0,576000.0,-586443.06,70742.0
2.0,1.0,0.0,-10.4375,0.0,0.0,23.2088,-0.0,23.2088,8471.21,-0.0,8471.21,10000.0,743000.0,-756924.07,91577.0
3.0,1.5,0.0,-10.4375,0.0,0.0,34.8132,-0.0,34.8132,12706.82,-0.0,12706.82,15000.0,1077000.0,-1097886.11,133249.0
4.0,2.0,0.0,-10.4375,0.0,0.0,46.4176,-0.0,46.4176,16942.42,-0.0,16942.42,20000.0,1411000.0,-1438848.15,174920.0
5.0,2.5,0.0,-10.4375,0.0,0.0,58.022,-0.0,58.022,21178.03,-0.0,21178.03,25000.0,1745000.0,-1779810.19,216592.0
6.0,3.0,0.0,-10.4375,0.0,0.0,69.6264,-0.0,69.6264,25413.63,-0.0,25413.63,30000.0,2079000.0,-2120772.22,258263.0
8.0,4.0,0.0,-10.4375,0.0,0.0,92.8352,-0.0,92.8352,33884.85,-0.0,33884.85,40000.0,2747000.0,-2802696.3,341606.0
10.0,5.0,0.0,-10.4375,0.0,0.0,116.044,-0.0,116.044,42356.06,-0.0,42356.06,50000.0,3415000.0,-3484620.37,424949.0
0.5,0.25,5.0,-5.4375,0.0,0.0,5.8022,-0.0,5.8022,2117.8,-0.0,2117.8,2500.0,242000.0,-245481.02,29070.0
1.0,0.5,5.0,-5.4375,0.0,0.0,11.6044,-0.0,11.6044,4235.61,-0.0,4235.61,5000.0,409000.0,-415962.04,49906.0
1.5,0.75,5.0,-5.4375,0.0,0.0,17.4066,-0.0,17.4066,6353.41,-0.0,6353.41,7500.0,576000.0,-586443.06,70742.0
2.0,1.0,5.0,-5.4375,0.0,0.0,23.2088,-0.0,23.2088,8471.21,-0.0,8471.21,10000.0,743000.0,-756924.07,91577.0
3.0,1.5,5.0,-5.4375,0.0,0.0,34.8132,-0.0,34.8132,12706.82,-0.0,12706.82,15000.0,1077000.0,-1097886.11,133249.0
4.0,2.0,5.0,-5.4375,0.0,0.0,46.4176,-0.0,46.4176,16942.42,-0.0,16942.42,20000.0,1411000.0,-1438848.15,174920.0
5.0,2.5,5.0,-5.4375,0.0,0.0,58.022,-0.0,58.022,21178.03,-0.0,21178.03,25000.0,1745000.0,-1779810.19,216592.0
6.0,3.0,5.0,-5.4375,0.0,0.0,69.6264,-0.0,69.6264,25413.63,-0.0,25413.63,30000.0,2079000.0,-2120772.22,258263.0
8.0,4.0,5.0,-5.4375,0.0,0.0,92.8352,-0.0,92.8352,33884.85,-0.0,33884.85,40000.0,2747000.0,-2802696.3,341606.0
10.0,5.0,5.0,-5.4375,0.0,0.0,116.044,-0.0,116.044,42356.06,-0.0,42356.06,50000.0,3415000.0,-3484620.37,424949.0
0.5,0.25,10.0,-0.4375,0.0,0.0,5.8022,-0.0,5.8022,2117.8,-0.0,2117.8,2500.0,242000.0,-245481.02,29070.0
1.0,0.5,10.0,-0.4375,0.0,0.0,11.6044,-0.0,11.6044,4235.61,-0.0,4235.61,5000.0,409000.0,-415962.04,49906.0
1.5,0.75,10.0,-0.4375,0.0,0.0,17.4066,-0.0,17.4066,6353.41,-0.0,6353.41,7500.0,576000.0,-586443.06,70742.0
2.0,1.0,10.0,-0.4375,0.0,0.0,23.2088,-0.0,23.2088,8471.21,-0.0,8471.21,10000.0,743000.0,-756924.07,91577.0
3.0,1.5,10.0,-0.4375,0.0,0.0,34.8132,-0.0,34.8132,12706.82,-0.0,12706.82,15000.0,1077000.0,-1097886.11,133249.0
4.0,2.0,10.0,-0.4375,0.0,0.0,46.4176,-0.0,46.4176,16942.42,-0.0,16942.42,20000.0,1411000.0,-1438848.15,174920.0
5.0,2.5,10.0,-0.4375,0.0,0.0,58.022,-0.0,58.022,21178.03,-0.0,21178.03,25000.0,1745000.0,-1779810.19,216592.0
6.0,3.0,10.0,-0.4375,0.0,0.0,69.6264,-0.0,69.6264,25413.63,-0.0,25413.63,30000.0,2079000.0,-2120772.22,258263.0
8.0,4.0,10.0,-0.4375,0.0,0.0,92.8352,-0.0,92.8352,33884.85,-0.0,33884.85,40000.0,2747000.0,-2802696.3,341606.0
10.0,5.0,10.0,-0.4375,0.0,0.0,116.044,-0.0,116.044,42356.06,-0.0,42356.06,50000.0,3415000.0,-3484620.37,424949.0
0.5,0.25,15.0,4.5625,0.1912,0.1995,21.7636,20.9324,0.8313,7943.72,7640.31,303.41,2500.0,242000.0,-192419.09,29070.0
1.0,0.5,15.0,4.5625,0.3823,0.3989,43.5272,41.8647,1.6625,15887.43,15280.62,606.82,5000.0,409000.0,-309838.18,49906.0
1.5,0.75,15.0,4.5625,0.5735,0.5984,65.2908,62.7971,2.4938,23831.15,22920.93,910.22,7500.0,576000.0,-427257.27,70742.0
2.0,1.0,15.0,4.5625,0.7647,0.7979,87.0544,83.7294,3.325,31774.87,30561.24,1213.63,10000.0,743000.0,-544676.36,91577.0
