scenario_id,season,probability,total_revenue,total_deg_cost,total_net,total_charge_MWh,total_discharge_MWh,n_charge_hours,n_discharge_hours,weighted_net
1,winter,0.102700,0.000000,0.000000,0.000000,0.000000,0.000000,9,15,0.000000
2,winter,0.066400,16.113515,10.354000,5.759515,0.000000,0.372000,9,15,0.382432
3,winter,0.028800,24.935681,10.354000,14.581681,0.000000,0.372000,6,18,0.419952
4,winter,0.019200,26.387299,10.354000,16.033299,0.000000,0.372000,8,16,0.307839
5,winter,0.012300,32.572320,10.354000,22.218320,0.000000,0.372000,7,17,0.273285
6,winter,0.010300,42.892195,10.354000,32.538195,0.000000,0.372000,10,14,0.335143
7,winter,0.003400,74.794870,36.307192,38.487678,0.500000,0.804450,7,17,0.130858
8,winter,0.001400,56.882297,10.354000,46.528297,0.000000,0.372000,8,16,0.065140
9,winter,0.001400,56.882297,10.354000,46.528297,0.000000,0.372000,7,17,0.065140
10,winter,0.000700,99.153024,32.679326,66.473697,0.430108,0.744000,10,14,0.046532
11,spring,0.086300,0.000000,0.000000,0.000000,0.000000,0.000000,8,16,0.000000
12,spring,0.074000,12.983098,10.354000,2.629098,0.000000,0.372000,7,17,0.194553
13,spring,0.021200,18.786446,10.354000,8.432446,0.000000,0.372000,8,16,0.178768
14,spring,0.017800,25.849462,10.354000,15.495462,0.000000,0.372000,8,16,0.275819
15,spring,0.017100,27.357475,10.354000,17.003475,0.000000,0.372000,10,14,0.290759
16,spring,0.013000,33.029657,10.354000,22.675657,0.000000,0.372000,6,18,0.294784
17,spring,0.008200,73.895517,32.679326,41.216191,0.430108,0.744000,8,16,0.337973
18,spring,0.005500,34.710427,10.354000,24.356427,0.000000,0.372000,6,18,0.133960
19,spring,0.004800,54.194634,18.035833,36.158801,0.147994,0.500000,9,15,0.173562
20,spring,0.004100,30.256769,10.354000,19.902769,0.000000,0.372000,8,16,0.081601
21,summer,0.083600,13.490543,10.354000,3.136543,0.000000,0.372000,6,18,0.262215
22,summer,0.052100,16.155923,10.354000,5.801923,0.000000,0.372000,8,16,0.302280
23,summer,0.026000,27.426035,10.354000,17.072035,0.000000,0.372000,8,16,0.443873
24,summer,0.024700,28.995540,10.354000,18.641540,0.000000,0.372000,10,14,0.460446
25,summer,0.020500,40.016114,10.354000,29.662114,0.000000,0.372000,7,17,0.608073
26,summer,0.015100,77.358444,32.679326,44.679117,0.430108,0.744000,8,16,0.674655
27,summer,0.011600,89.909065,32.679326,57.229739,0.430108,0.744000,8,16,0.663865
28,summer,0.006800,86.352725,32.679326,53.673399,0.430108,0.744000,9,15,0.364979
29,summer,0.006200,83.927117,32.679326,51.247791,0.430108,0.744000,8,16,0.317736
30,summer,0.005500,88.984912,32.679326,56.305586,0.430108,0.744000,5,19,0.309681
31,fall,0.065800,11.195898,10.354000,0.841898,0.000000,0.372000,8,16,0.055397
32,fall,0.054100,14.180603,10.354000,3.826603,0.000000,0.372000,8,16,0.207019
33,fall,0.032900,27.082828,10.354000,16.728828,0.000000,0.372000,10,14,0.550378
34,fall,0.024000,22.733478,10.354000,12.379478,0.000000,0.372000,7,17,0.297107
35,fall,0.018500,27.561257,10.354000,17.207257,0.000000,0.372000,8,16,0.318334
36,fall,0.015100,45.307243,18.035833,27.271410,0.147994,0.500000,8,16,0.411798
37,fall,0.013000,50.817869,18.035833,32.782036,0.147994,0.500000,9,15,0.426166
38,fall,0.012300,57.858147,18.035833,39.822314,0.147994,0.500000,9,15,0.489814
39,fall,0.011600,39.655609,10.354000,29.301609,0.000000,0.372000,7,17,0.339899
40,fall,0.002100,86.289196,32.679326,53.609869,0.430108,0.744000,9,15,0.112581
